"","Participant","Age","pacStay","pacMove","condition","partGroup"
"1","P10",18,743.41796875,472.319808467742,"s","e"
"2","P10",18,641.946875,429.629136029412,"co","e"
"3","P12",22,693.138671875,438.728036556604,"s","e"
"4","P12",22,1265.96986607143,631.982244318182,"co","e"
"5","P13",32,383.056021341463,344.772941468254,"s","c"
"6","P13",32,438.6943359375,366.013310185185,"co","c"
"7","P14",22,382.20703125,460.663743622449,"s","e"
"8","P14",22,666.339488636364,344.900923295455,"co","e"
"9","P16",18,380.392103040541,372.200768849206,"s","e"
"10","P16",18,622.09375,325.441964285714,"co","e"
"11","P18",31,252.845920138889,297.440445696721,"s","c"
"12","P18",31,654.687760416667,327.54765625,"co","c"
"13","P19",30,430.519856770833,368.803316885965,"s","c"
"14","P19",30,895.394270833333,354.783761160714,"co","c"
"15","P2",19,468.131365740741,380.848090277778,"s","e"
"16","P2",19,868.636284722222,255.734375,"co","e"
"17","P20",25,430.780975877193,608.998197115385,"s","c"
"18","P20",25,541.492487980769,685.783674568965,"co","c"
"19","P21",25,407.172154017857,440.236882716049,"s","c"
"20","P21",25,586.59375,642.333705357143,"co","c"
"21","P22",32,334.292782738095,650.115566037736,"s","c"
"22","P22",32,502.875651041667,617.688802083333,"co","c"
"23","P23",29,483.843424479167,372.597176535088,"s","c"
"24","P23",29,524.498660714286,552.598790322581,"co","c"
"25","P24",27,347.01953125,499.875279017857,"s","c"
"26","P24",27,505.7153125,568.108642578125,"co","c"
"27","P25",26,651.697265625,727.6796875,"s","c"
"28","P25",26,1505.41338315217,918.2575,"co","c"
"29","P26",25,381.67649872449,578.188358516484,"s","c"
"30","P26",25,519.48474702381,592.698883928571,"co","c"
"31","P27",27,376.227463942308,446.748918269231,"s","c"
"32","P27",27,594.875625,480.952620967742,"co","c"
"33","P28",20,419.866908482143,380.144618055556,"s","c"
"34","P28",20,525.34375,442.344140625,"co","c"
"35","P29",26,471.420823317308,522.860227272727,"s","c"
"36","P29",26,554.552176339286,494.233072916667,"co","c"
"37","P30",18,424.894097222222,503.975942460317,"s","c"
"38","P30",18,425.541466346154,589.043323863636,"co","c"
"39","P4",22,373.872395833333,348.1625,"s","e"
"40","P4",22,893.402864583333,388.2984375,"co","e"
"41","P5",28,374.186266447368,431.689365671642,"s","c"
"42","P5",28,950.749399038462,471.066706730769,"co","c"
"43","P6",23,407.073784722222,422.823958333333,"s","e"
"44","P6",23,463.549005681818,442.475,"co","e"
"45","P7",26,261.157552083333,318.6640625,"s","e"
"46","P7",26,890.65625,479.309375,"co","e"
"47","P9",18,534.465880102041,433.366303066038,"s","e"
"48","P9",18,550.167564655172,492.3828125,"co","e"
"49","P9",25,440.658318014706,346.874660326087,"s","c"
"50","P9",25,479.150082236842,422.244010416667,"co","c"
