,Participant,Age,pacStay,pacMove,condition,partGroup
1,P10,18,743.4179688,386.4408854,s,e
2,P10,18,641.946875,429.629136,co,e
3,P12,22,693.1386719,405.1171875,s,e
4,P12,22,670.3491587,631.9822443,co,e
5,P13,32,383.0560213,344.7729415,s,c
6,P13,32,438.6943359,366.0133102,co,c
7,P14,22,382.2070313,443.1500483,s,e
8,P14,22,666.3394886,344.9009233,co,e
9,P16,18,380.392103,372.2007688,s,e
10,P16,18,442.5984375,325.4419643,co,e
11,P18,31,252.8459201,297.4404457,s,c
12,P18,31,441.9665948,327.5476563,co,c
13,P19,30,430.5198568,368.8033169,s,c
14,P19,30,469.2860577,354.7837612,co,c
17,P20,25,365.1815011,435.6024639,s,c
18,P20,25,394.54125,484.1950231,co,c
23,P23,29,483.8434245,331.6941964,s,c
24,P23,29,477.0418199,499.2713542,co,c
25,P24,27,347.0195313,499.875279,s,c
26,P24,27,505.7153125,568.1086426,co,c
29,P26,25,328.5460612,543.8126756,s,c
30,P26,25,519.484747,545.0461857,co,c
31,P27,27,376.2274639,446.7489183,s,c
32,P27,27,594.875625,480.952621,co,c
33,P28,20,419.8669085,380.1446181,s,c
34,P28,20,525.34375,442.3441406,co,c
35,P29,26,471.4208233,483.6270255,s,c
36,P29,26,472.8506944,494.2330729,co,c
37,P30,18,424.8940972,503.9759425,s,c
38,P30,18,425.5414663,477.1886161,co,c
39,P4,22,373.8723958,348.1625,s,e
40,P4,22,607.4973958,386.6794705,co,e
41,P5,28,374.1862664,431.6893657,s,c
42,P5,28,314.7080966,471.0667067,co,c
43,P6,23,407.0737847,422.8239583,s,e
44,P6,23,463.5490057,442.475,co,e
45,P7,26,261.1575521,318.6640625,s,e
46,P7,26,461.7359375,479.309375,co,e
47,P9,18,534.4658801,433.3663031,s,e
48,P9,18,550.1675647,492.3828125,co,e
49,P9,25,440.658318,346.8746603,s,c
50,P9,25,479.1500822,422.2440104,co,c
